plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,5f2b5307-7ccd-4e82-920d-1154ee153522,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,5f2b5307-7ccd-4e82-920d-1154ee153522,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,5f2b5307-7ccd-4e82-920d-1154ee153522,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,5f2b5307-7ccd-4e82-920d-1154ee153522,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,5f2b5307-7ccd-4e82-920d-1154ee153522,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
e8507d83-8682-45e9-b9ff-2f3bbfce78e2,Antonov AN-225-210,e8507d83-8682-45e9-b9ff-2f3bbfce78e2,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
e8507d83-8682-45e9-b9ff-2f3bbfce78e2,Antonov AN-225-210,e8507d83-8682-45e9-b9ff-2f3bbfce78e2,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
e8507d83-8682-45e9-b9ff-2f3bbfce78e2,Antonov AN-225-210,e8507d83-8682-45e9-b9ff-2f3bbfce78e2,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
e8507d83-8682-45e9-b9ff-2f3bbfce78e2,Antonov AN-225-210,e8507d83-8682-45e9-b9ff-2f3bbfce78e2,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
e8507d83-8682-45e9-b9ff-2f3bbfce78e2,Antonov AN-225-210,e8507d83-8682-45e9-b9ff-2f3bbfce78e2,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
ae61cf16-8f26-47df-ae9c-53c13ca4fd84,Antonov AN-225-210,ae61cf16-8f26-47df-ae9c-53c13ca4fd84,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
ae61cf16-8f26-47df-ae9c-53c13ca4fd84,Antonov AN-225-210,ae61cf16-8f26-47df-ae9c-53c13ca4fd84,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
ae61cf16-8f26-47df-ae9c-53c13ca4fd84,Antonov AN-225-210,ae61cf16-8f26-47df-ae9c-53c13ca4fd84,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
ae61cf16-8f26-47df-ae9c-53c13ca4fd84,Antonov AN-225-210,ae61cf16-8f26-47df-ae9c-53c13ca4fd84,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
ae61cf16-8f26-47df-ae9c-53c13ca4fd84,Antonov AN-225-210,ae61cf16-8f26-47df-ae9c-53c13ca4fd84,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
d5ac9ffc-1535-4495-94fb-5a290b4bfada,Antonov AN-225-210,d5ac9ffc-1535-4495-94fb-5a290b4bfada,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
d5ac9ffc-1535-4495-94fb-5a290b4bfada,Antonov AN-225-210,d5ac9ffc-1535-4495-94fb-5a290b4bfada,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
d5ac9ffc-1535-4495-94fb-5a290b4bfada,Antonov AN-225-210,d5ac9ffc-1535-4495-94fb-5a290b4bfada,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
d5ac9ffc-1535-4495-94fb-5a290b4bfada,Antonov AN-225-210,d5ac9ffc-1535-4495-94fb-5a290b4bfada,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
d5ac9ffc-1535-4495-94fb-5a290b4bfada,Antonov AN-225-210,d5ac9ffc-1535-4495-94fb-5a290b4bfada,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
32da78d3-304e-49fa-983d-69c770293151,Antonov AN-225-210,32da78d3-304e-49fa-983d-69c770293151,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
32da78d3-304e-49fa-983d-69c770293151,Antonov AN-225-210,32da78d3-304e-49fa-983d-69c770293151,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
32da78d3-304e-49fa-983d-69c770293151,Antonov AN-225-210,32da78d3-304e-49fa-983d-69c770293151,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
32da78d3-304e-49fa-983d-69c770293151,Antonov AN-225-210,32da78d3-304e-49fa-983d-69c770293151,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
32da78d3-304e-49fa-983d-69c770293151,Antonov AN-225-210,32da78d3-304e-49fa-983d-69c770293151,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
ef55195e-d86c-4cb4-835f-7b9359d145e6,Antonov AN-225-210,ef55195e-d86c-4cb4-835f-7b9359d145e6,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
ef55195e-d86c-4cb4-835f-7b9359d145e6,Antonov AN-225-210,ef55195e-d86c-4cb4-835f-7b9359d145e6,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
ef55195e-d86c-4cb4-835f-7b9359d145e6,Antonov AN-225-210,ef55195e-d86c-4cb4-835f-7b9359d145e6,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
ef55195e-d86c-4cb4-835f-7b9359d145e6,Antonov AN-225-210,ef55195e-d86c-4cb4-835f-7b9359d145e6,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
ef55195e-d86c-4cb4-835f-7b9359d145e6,Antonov AN-225-210,ef55195e-d86c-4cb4-835f-7b9359d145e6,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
a7b2d5e7-0f98-4161-aec0-911853b7d8b3,Antonov AN-225-210,a7b2d5e7-0f98-4161-aec0-911853b7d8b3,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
a7b2d5e7-0f98-4161-aec0-911853b7d8b3,Antonov AN-225-210,a7b2d5e7-0f98-4161-aec0-911853b7d8b3,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
a7b2d5e7-0f98-4161-aec0-911853b7d8b3,Antonov AN-225-210,a7b2d5e7-0f98-4161-aec0-911853b7d8b3,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
a7b2d5e7-0f98-4161-aec0-911853b7d8b3,Antonov AN-225-210,a7b2d5e7-0f98-4161-aec0-911853b7d8b3,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
a7b2d5e7-0f98-4161-aec0-911853b7d8b3,Antonov AN-225-210,a7b2d5e7-0f98-4161-aec0-911853b7d8b3,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
b3de8a28-af25-4ea3-bf19-ce018e7fd43e,Antonov AN-225-210,b3de8a28-af25-4ea3-bf19-ce018e7fd43e,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
b3de8a28-af25-4ea3-bf19-ce018e7fd43e,Antonov AN-225-210,b3de8a28-af25-4ea3-bf19-ce018e7fd43e,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
b3de8a28-af25-4ea3-bf19-ce018e7fd43e,Antonov AN-225-210,b3de8a28-af25-4ea3-bf19-ce018e7fd43e,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
b3de8a28-af25-4ea3-bf19-ce018e7fd43e,Antonov AN-225-210,b3de8a28-af25-4ea3-bf19-ce018e7fd43e,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
b3de8a28-af25-4ea3-bf19-ce018e7fd43e,Antonov AN-225-210,b3de8a28-af25-4ea3-bf19-ce018e7fd43e,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
782a7bfd-fd4e-472b-a315-dd24aaf8d456,Antonov AN-225-210,782a7bfd-fd4e-472b-a315-dd24aaf8d456,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
782a7bfd-fd4e-472b-a315-dd24aaf8d456,Antonov AN-225-210,782a7bfd-fd4e-472b-a315-dd24aaf8d456,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
782a7bfd-fd4e-472b-a315-dd24aaf8d456,Antonov AN-225-210,782a7bfd-fd4e-472b-a315-dd24aaf8d456,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
782a7bfd-fd4e-472b-a315-dd24aaf8d456,Antonov AN-225-210,782a7bfd-fd4e-472b-a315-dd24aaf8d456,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
782a7bfd-fd4e-472b-a315-dd24aaf8d456,Antonov AN-225-210,782a7bfd-fd4e-472b-a315-dd24aaf8d456,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
e83876ed-38d0-45e1-8475-ffddb725809b,Antonov AN-225-210,e83876ed-38d0-45e1-8475-ffddb725809b,1281f5c8-7386-49b8-9a60-d091eb4bbe92,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,50.82,65799822.39,21.65,65799822.386278,6079458.00,2.00
e83876ed-38d0-45e1-8475-ffddb725809b,Antonov AN-225-210,e83876ed-38d0-45e1-8475-ffddb725809b,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,58152180.391069,15347818.50,7.00
e83876ed-38d0-45e1-8475-ffddb725809b,Antonov AN-225-210,e83876ed-38d0-45e1-8475-ffddb725809b,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00
e83876ed-38d0-45e1-8475-ffddb725809b,Antonov AN-225-210,e83876ed-38d0-45e1-8475-ffddb725809b,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00
e83876ed-38d0-45e1-8475-ffddb725809b,Antonov AN-225-210,e83876ed-38d0-45e1-8475-ffddb725809b,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,32437914.618357,10666204.50,9.00
