work_order_id,plane_id,plane_registration,plane_type,priority,job_sequence,job_id,source,departure,destination,distance_nm,flight_hours,pay,xp,pay_per_hour,xp_per_hour,balance_score,time_remaining_hours,penalty_amount,adjusted_pay_per_hour,adjusted_pay_total,speed_kts,min_airport_size,route,legs_count,accumulated_hours,is_late
1,4ae3b578-dd30-40ec-ab92-dde4eedd1e2e,BLACKBIRD,Lockheed SR-71,xp,1,002bee2d-5102-4e6e-93ba-c5f591f465cd,fbo:b2868468-2061-4c06-92db-2209025e23f7,KLRG,KLRG,477.13812051825926,1.0920459108284415,1004.0,23.0,919.3752662269953,21.061385580897305,0.10576661553760001,35.19245199916667,0.0,919.3752662269953,1004.0,436.92130137303064,1,KLRG -> KFMH -> KLRG,2,1.0920459108284415,False
1,4ae3b578-dd30-40ec-ab92-dde4eedd1e2e,BLACKBIRD,Lockheed SR-71,xp,2,80da7766-ea9c-48bd-8228-df4d5737c863,fbo:b2868468-2061-4c06-92db-2209025e23f7,KLRG,KLRG,601.8154903318735,1.3774002055762922,6749.0,30.0,4899.810507271035,21.780162278579205,0.11135071664653154,97.90926711083333,0.0,4899.810507271035,6749.0,436.92130137303064,1,KLRG -> CYOW -> KLRG,2,2.4694461164047334,False
1,4ae3b578-dd30-40ec-ab92-dde4eedd1e2e,BLACKBIRD,Lockheed SR-71,xp,3,4ba0f001-915f-4027-985a-b8e99ca897fc,fbo:b2868468-2061-4c06-92db-2209025e23f7,KLRG,KLRG,812.5776111249988,1.8597802592170796,6246.5,40.0,3358.7301344028774,21.507917293862977,0.10921895153651633,116.55918860666667,0.0,3358.7301344028774,6246.5,436.92130137303076,1,KLRG -> CYZX -> KBDL -> KLRG,3,4.329226375621813,False
2,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,1,7ee70773-bc36-4847-896b-c3524d4438c3,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,3164.737331535125,3.439377311677372,145148.0,158.0,41513.862838765606,45.18967073969304,0.24670528511784803,18.306098527777777,0.0,42201.82516968801,145148.0,920.1483421985168,4,KBGR -> MDLR -> KBGR,2,3.439377311677372,False
2,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,2,e75cf9e1-2468-40a3-9364-5a8a78505d7f,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,2248.1274511337906,5.2634654755103165,3804622.3,112.0,701494.355020336,20.650503931041364,0.4539996971653748,34.79023945416667,0.0,722835.9942137029,3804622.3,427.11925471798116,4,KBGR -> KCEF -> KDHN -> KBGR,3,8.702842787187688,False
2,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,3,df8a7538-f3f9-450c-8d0c-55cda9a6ab54,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,2110.1783220137568,4.638172727131094,1372855.8,105.0,286274.24335673486,21.89508581488104,0.2526125507527726,56.505037163611114,0.0,295990.65855599765,1372855.8,454.9589776314759,4,KBGR -> KMGE -> KBNA -> KBGR,3,13.341015514318782,False
2,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,4,3538bc02-69a9-4bf6-90f2-fc0aeef1ae7d,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,2106.628378371251,5.496082816823514,2558565.2,105.0,457666.1963882681,18.78199180570741,0.3227430572226711,57.52373765944444,0.0,465525.22683396074,2558565.2,383.29633096554875,5,KBGR -> KDAY -> KHSV -> KBGR,3,18.837098331142297,False
2,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,5,transit_5cb23793-f0c2-4e99-9300-a65810145c60_KMIA,transit,KBGR,KMIA,1269.1738947631181,1.7988207093171924,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,705.5588631981444,,KBGR -> KMIA,0,20.635919040459488,False
2,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,6,6c58a524-ee34-4b99-8c96-e15fc7c44a21,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,KMIA,KSEA,2364.772125448534,2.4118941762281163,2395703.5,118.0,993287.1531480554,48.92420287880806,0.741264590968068,39.30017239666667,0.0,993287.1531480554,2395703.5,980.4626375219849,5,KMIA -> KSEA,1,23.047813216687604,False
3,6741b887-f2a9-4133-a4b2-59a7da21f415,CON-2,Concorde,xp,1,transit_6741b887-f2a9-4133-a4b2-59a7da21f415_KJAX,transit,KBGR,KJAX,1051.7693941508671,1.9015767641617185,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,553.103831500867,,KBGR -> KJAX,0,1.9015767641617185,False
