plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,225d99e7-7169-485b-a499-bfcc7293b1c9,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3662.48,682066.84,36.03,0.521162,3464706.00,183.00,5.08,721,5,"KBGR, KPBI, KDFW, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,e9f2da3c-8ba4-4024-8d28-af48e4e4224a,fbo:93dd4df8-9061-4348-8cd7-8dcc95c2602f,3622.98,354710.56,36.02,0.357457,1782396.00,181.00,5.02,721,5,"ESGG, KMSP",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,a147e3af-c720-4450-b95d-da5a70cec2e6,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6065.01,567855.03,36.02,0.464029,4776765.00,303.00,8.41,721,4,"KBGR, EDSB, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,65405429-bc99-4ac6-bdad-d4a98eb4263c,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2662.38,294442.33,36.02,0.327310,1087264.50,133.00,3.69,721,4,"KBGR, KTUL, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,98e01f3d-a090-4f57-a9bd-2b7412a28e0e,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2722.56,212970.09,36.02,0.286565,804195.00,136.00,3.78,721,5,"KBGR, CYUL, KICT, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,a4af802c-9332-464a-a630-0c02779dc2b2,fbo:883bbd19-9d64-465d-9711-bbd4c26ddc66,820.88,135329.19,36.01,0.247721,154077.00,41.00,1.14,721,5,"KMEM, KEWR",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,6919eb9a-ff58-4a1c-8675-34742cb5730d,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6247.89,604757.99,36.00,0.482401,5240581.50,312.00,8.67,721,4,"KBGR, KVLD, SPYL, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,98a43280-e6cd-44b6-a9f0-06301a2ebf4f,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,6247.91,1460052.53,36.00,0.910048,12652258.50,312.00,8.67,721,2,"KMLT, EDAH, EDAZ, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,4afee09a-ae41-4246-87e8-930894c3e957,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,4365.80,284817.18,36.00,0.322419,1724625.00,218.00,6.06,721,5,"EINN, KOAK",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,cf55a469-ee6c-4965-89ab-e956c9d33622,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,4365.80,358153.48,36.00,0.359087,2168691.00,218.00,6.06,721,5,"EINN, KOAK",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,450412bb-e126-4eb7-aa8c-597987651b95,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4826.56,699728.24,36.00,0.529869,4684165.50,241.00,6.69,721,4,"KBGR, KSDM, KACY, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,6c25edfa-dff6-4ba0-a063-b02465723cfc,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5006.94,1293194.52,36.00,0.826598,8980503.00,250.00,6.94,721,2,"KMLT, KRDG, KSFO, KMLT",3
