plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,110200133.33,0.00,110200133.330618,3614374.00,0.00,0.03,550,5,"KEWR, KJFK",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,67814364.36,0.00,67814364.355531,2224194.00,0.00,0.03,550,5,"KEWR, KJFK",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,3d2d42f9-c9c3-4edf-9890-69e340891c24,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,159.62,60504264.58,24.12,30.372730,17559579.50,7.00,0.29,550,4,"KLAX, KNSI, KVNY, KLAX",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,1114daf8-c5db-4b87-b334-dee0065a7c3a,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,60443899.95,0.00,60443899.945611,1982455.50,0.00,0.03,550,5,"KEWR, KJFK",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,d6c2188e-b16d-4f3b-828a-4f10dfc0faa2,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,55797450.96,0.00,55797450.956384,1830060.00,0.00,0.03,550,5,"KEWR, KJFK",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,4e69946b-821c-4470-9b04-799b59d0067c,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,168.14,55547767.77,26.17,27.904723,16981942.50,8.00,0.31,550,5,"KADW, KEWR",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,8a63def3-fab9-4913-9e2c-8b6b407fcad6,fbo:1808831c-344b-4239-bd19-56cfb551cfb5,599.29,55422512.68,26.61,27.844331,60389152.50,29.00,1.09,550,4,"KORD, KMFD, KCAK, KORD",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,f7959eb9-78f6-480c-b939-788ec4918450,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,657.52,54543288.57,26.77,27.405481,65205882.50,32.00,1.20,550,5,"KSDF, KORD, KTOL, KSDF",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,3104396e-324e-443e-93f5-74efc1a84796,fbo:e11f0ba9-9f21-488b-9c59-8abfea9df870,289.90,52963688.95,26.56,26.614650,27916522.00,14.00,0.53,550,5,"KMSP, KORD",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,dc508938-bdda-48ad-923d-82a8dd2cc6d2,fbo:883bbd19-9d64-465d-9711-bbd4c26ddc66,477.78,52013159.31,26.48,26.138963,45183242.00,23.00,0.87,550,4,"KMEM, KSEM, KBHM, KMEM",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,d84b08ae-b379-4041-9780-1c4f761bd7a0,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,179.98,51730145.19,24.45,25.987310,16927782.00,8.00,0.33,550,5,"KADW, KJFK",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,c466eacf-c772-444b-8595-b75c73d2346a,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,508.49,49034528.62,27.04,24.652469,45333545.00,25.00,0.92,550,5,"KADW, KBGR",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,59c8e3f1-1e56-46cd-bc94-8f26ac850df2,fbo:61851d5c-70bb-4540-8536-b57f36e52b17,986.73,48408780.57,27.31,24.340952,86848414.50,49.00,1.79,550,5,"KDFW, KABQ, KDFW",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,49604260-a141-42b9-a8b4-2c7b67236aaa,fbo:6e4dccb7-5063-4cc8-9ad6-754e0884b5a0,1170.93,48355044.14,27.24,24.313738,102946542.30,58.00,2.13,550,5,"KJFK, KGRR, KCMH, KJFK",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,c935f211-a8ad-4bb7-9306-6623454128fd,fbo:10f9a696-2a4a-4230-af78-d57ca89be883,499.40,48302049.20,26.43,24.283184,43857975.00,24.00,0.91,550,4,"KJAX, KMEM",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,43cce7aa-a2b1-4270-8bfb-79a2737ff802,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,1007.13,47256975.65,27.31,23.765015,86534084.00,50.00,1.83,550,4,"KSDF, KHSA, KSDF",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,fe984098-6834-42d7-905f-ef9a2aad462b,fbo:6e4dccb7-5063-4cc8-9ad6-754e0884b5a0,737.67,45501524.14,26.84,22.884968,61027599.10,36.00,1.34,550,4,"KJFK, CYYZ, KACY, KJFK",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,121b8e06-94dc-448e-9d7c-bb1ec45fbfa3,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,168.14,45264023.13,26.17,22.762851,13838018.50,8.00,0.31,550,5,"KADW, KEWR",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,8623f30e-aeb2-410a-b121-730e48ebe531,fbo:7c2bd7b7-6d50-4f32-9326-ac9024d5a21b,1099.20,45022094.06,27.02,22.646145,89978687.00,54.00,2.00,550,4,"KDEN, KSJT, KDEN",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,ff17808b-c38e-45cc-ae60-0d710585a8b0,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,607.94,44643840.71,27.14,22.457625,49346729.00,30.00,1.11,550,4,"KLAX, KSBD, KGYR, KLAX",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,8dfc84d9-a196-44fe-a9c7-73231897fda7,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,984.11,44253209.00,27.39,22.263530,79181775.50,49.00,1.79,550,4,"KSDF, KNHK, KORF, KSDF",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,b2d87ccc-0add-4d2e-8f6f-7da275868d5c,fbo:883bbd19-9d64-465d-9711-bbd4c26ddc66,1071.24,43960318.22,27.21,22.116216,85622027.00,53.00,1.95,550,4,"KMEM, KCAK, KMEM",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,e7598650-c2f8-46bf-91c1-2d72e75ba825,fbo:1808831c-344b-4239-bd19-56cfb551cfb5,1113.70,43579727.79,27.16,21.925673,88244655.50,55.00,2.02,550,4,"KORD, KBMI, KCLT, KORD",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,21e68928-9ad3-4cb5-8768-3f5626aa945a,fbo:61851d5c-70bb-4540-8536-b57f36e52b17,869.31,43504481.20,27.21,21.888268,68761454.50,43.00,1.58,550,4,"KDFW, KLVS, KDFW",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,46dbfa68-07fd-424e-bb41-5df968c36fe1,fbo:61851d5c-70bb-4540-8536-b57f36e52b17,330.87,43184967.41,26.60,21.725466,25979474.50,16.00,0.60,550,5,"KAUS, KDFW, KAUS",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,4b5710d0-3f9c-495d-b3f7-f9b3fc79eb52,fbo:3f1d2051-ee06-41c6-9782-aa3debe1e7e6,986.61,42971492.24,27.32,21.622325,77083733.00,49.00,1.79,550,4,"KBQK, KCVG, KBQK",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,62c2c1a9-e3d0-4a62-ba45-908bcfb4fe8a,fbo:7c2bd7b7-6d50-4f32-9326-ac9024d5a21b,898.81,42356654.20,26.92,21.312950,69218889.00,44.00,1.63,550,4,"KDEN, KBEC, KFOE, KDEN",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,d106c1d5-2a99-41cc-8838-2fcb5482cf7f,fbo:7c2bd7b7-6d50-4f32-9326-ac9024d5a21b,607.74,41832631.72,27.15,21.052064,46224570.50,30.00,1.10,550,5,"KDEN, KABQ, KDEN",2
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,f4a6d0d3-16ce-4d9c-ba0c-3956d5dad853,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,1314.75,41760604.65,27.19,21.016260,99826671.50,65.00,2.39,550,4,"KSDF, KMMT, KGPT, KSDF",3
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,87088ec8-4726-48c0-a8c4-80f46dcc6c60,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,364.51,41336778.27,27.16,20.804186,27396108.50,18.00,0.66,550,5,"KADW, KCVG",1
5f2b5307-7ccd-4e82-920d-1154ee153522,Antonov AN-225-210,,22750a03-3e13-49d5-bdca-c9dcb3994c3c,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,1009.40,40754786.30,27.24,20.513612,74796283.50,50.00,1.84,550,5,"KSDF, KTOL, KBWI, KSDF",3
