plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,Departure,Destination,route,legs_count
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,08dc11b0-dfc4-4de8-af7c-df80c7af953a,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,3035528.50,0.00,3035528.502273,83513.00,0.00,0.03,656,5,KEWR,KJFK,"KEWR, KJFK",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,bc5b20df-7d03-489f-b4c7-c12d86403f1c,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,996.14,4712294.29,32.25,2.517413,7159072.00,49.00,1.52,656,2,KMLT,KMLT,"KMLT, KTHV, KMLT",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,148350ff-6dc2-4056-8a98-27bd87aba50b,fbo:10f9a696-2a4a-4230-af78-d57ca89be883,499.40,4658890.08,31.51,2.486999,3548414.00,24.00,0.76,656,4,KJAX,KMEM,"KJAX, KMEM",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,56967cc9-0e51-49ca-a605-99baba95b778,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,493.45,3704146.98,31.89,2.011528,2787622.50,24.00,0.75,656,5,KEWR,KCVG,"KEWR, KCVG",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,8b425557-7e95-4f96-8484-65fb73f0fafd,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,293.07,3683381.92,31.32,1.998303,1646341.50,14.00,0.45,656,5,KLAX,KOAK,"KLAX, KOAK",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,adc92f48-99e6-484f-bacf-5e38b03709bd,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,1499.05,3104909.70,32.37,1.714292,7098580.00,74.00,2.29,656,2,KMLT,KMLT,"KMLT, KOEB, CSR3, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,6c9784a6-4028-412d-b192-9437bcea2683,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,2396.81,2932041.22,32.55,1.628792,10717908.00,119.00,3.66,656,2,KMLT,KMLT,"KMLT, KLEX, CYAD, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,fef5235a-e15c-4550-8943-77272d13c23c,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,1697.44,2803183.92,32.45,1.563828,7256926.00,84.00,2.59,656,2,KMLT,KMLT,"KMLT, KBBP, KBGM, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,61e6a352-c612-4849-865a-a043e2648355,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5687.48,2796778.00,32.74,1.562094,24259610.00,284.00,8.67,656,2,KMLT,KMLT,"KMLT, KUKI, X35, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,94b0cacf-d8c8-4b3d-8107-185d8dbcf1f1,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3094.04,2787344.99,32.64,1.556849,13152952.00,154.00,4.72,656,2,KMLT,KMLT,"KMLT, KTUP, MYAT, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,2fa86226-5241-4359-9775-6ed6dd0bea01,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,2659.85,2691864.65,32.54,1.508630,10919858.00,132.00,4.06,656,2,KMLT,KMLT,"KMLT, 0G7, KGPT, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,62939db6-beb3-411c-b13c-1d5ae48c66c7,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5921.52,2599763.91,32.66,1.463207,23478658.00,295.00,9.03,656,2,KMLT,KMLT,"KMLT, EGKK, LFBA, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,0758cac0-e95e-4993-9a4e-a0c45bec1f8b,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3097.42,2598821.02,32.60,1.462409,12276722.00,154.00,4.72,656,2,KMLT,KMLT,"KMLT, KPYX, KBKL, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,6c20fd90-2629-47b3-ae43-1a4998df0371,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,815.24,2571525.08,32.17,1.446619,3197289.00,40.00,1.24,656,5,KADW,KMSP,"KADW, KMSP",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,ec09723e-b968-4e6c-8b0a-89b71f78bf7f,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3060.06,2554858.11,32.57,1.440275,11923478.00,152.00,4.67,656,2,KMLT,KMLT,"KMLT, KAEL, KMVC, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,62118864-704f-4d3a-a716-fa64c9d8ad61,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3942.93,2502567.50,32.76,1.415083,15049110.00,197.00,6.01,656,2,KMLT,KMLT,"KMLT, KJER, KEMM, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,7908e067-ee1c-48e6-a332-79a493de1ff5,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3383.04,2479315.52,32.75,1.403431,12792184.00,169.00,5.16,656,2,KMLT,KMLT,"KMLT, KUKF, KRPH, KGAG, KMLT",4
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,4b9dd61c-9165-46ba-a52d-f0d81962ce72,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5734.12,2302742.50,32.70,1.314888,20138098.00,286.00,8.75,656,2,KMLT,KMLT,"KMLT, CYKA, KMIA, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,6c86785f-975b-4b2f-9cbd-f6ee3cb134c7,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,4892.42,2293554.65,32.70,1.310282,17113504.00,244.00,7.46,656,2,KMLT,KMLT,"KMLT, KAJR, KBNG, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,b177c5ac-586c-48c7-9ee0-4c77418edef0,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,231.58,2247737.69,31.14,1.279591,793888.10,11.00,0.35,656,4,KBGR,KBGR,"KBGR, CYFC, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,b636fddf-9f9c-4f9d-99d5-58ec72678074,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,5730.86,2226535.94,32.72,1.276878,19460564.00,286.00,8.74,656,2,KMLT,KMLT,"KMLT, CYXJ, KLPC, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,575e9bfe-dd2b-417d-8356-0788ca74a4bb,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,3027.41,2167599.03,32.70,1.247319,10008206.00,151.00,4.62,656,2,KRBD,KRBD,"KRBD, KMLT, KRBD",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,851928e0-6908-4fff-97c8-76cf39c23031,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,4975.04,2160815.04,32.69,1.243833,16395332.00,248.00,7.59,656,2,KMLT,KMLT,"KMLT, KNUW, KGZS, KMLT",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,fac33210-fcf3-4c87-b77f-3983021afdcc,fbo:883bbd19-9d64-465d-9711-bbd4c26ddc66,1131.54,2107952.80,32.45,1.216226,3637770.50,56.00,1.73,656,5,KMEM,KBGR,"KMEM, KBGR",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,375d832a-36cf-4aa5-94f9-4b219794af50,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,874.04,2109023.22,32.26,1.215799,2811380.50,43.00,1.33,656,5,KEWR,KMSP,"KEWR, KMSP",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,23e6e56e-5f38-4a0e-bf28-d7673809e0fb,fbo:2af499c4-4ba9-489e-8547-8652feee13ea,2734.87,2088922.82,32.61,1.207491,8712941.00,136.00,4.17,656,5,PANC,KMEM,"PANC, KMEM",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,300739bb-62fd-4d9a-826e-77810ee49915,fbo:93dd4df8-9061-4348-8cd7-8dcc95c2602f,4772.77,2038999.77,32.78,1.183421,14802305.00,238.00,7.26,657,5,ESGG,KLAX,"ESGG, KLAX",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,44ab8993-ccc3-486b-89f0-7dcf2b7bb214,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2878.32,1960772.19,32.58,1.143263,8607408.90,143.00,4.39,656,5,KBGR,PANC,"KBGR, PANC",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,22db6039-1bd1-424e-a3ad-918a8921cbbe,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2207.32,1667157.35,32.68,0.996955,5612402.90,110.00,3.37,656,5,KDAB,KDAB,"KDAB, KBGR, KDAB",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,d0a23ec8-e64f-477c-b281-67df9f2f805d,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,382.12,1667754.18,32.60,0.996888,971938.00,19.00,0.58,656,2,KMLT,KEWR,"KMLT, KEWR",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,80aecbde-f887-4af7-bd93-1dbf4b82fd18,fbo:93dd4df8-9061-4348-8cd7-8dcc95c2602f,3623.56,1615895.56,32.75,0.971707,8930081.50,181.00,5.53,656,5,ESGG,KORD,"ESGG, KORD",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,91017b80-08b1-4afd-acac-cc1691c692c7,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,2670.60,1471058.22,32.65,0.898799,5991626.00,133.00,4.07,656,5,EINN,KJFK,"EINN, KJFK",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,7882803e-856e-4877-8a94-26e866dc9ea8,fbo:e26561c9-aee7-4f4a-8e4f-0c07c00fd3c5,1559.18,1451088.50,32.38,0.887448,3450615.50,77.00,2.38,656,5,KOAK,KMEM,"KOAK, KMEM",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,ab0e3065-9557-4f14-9030-10b9b398605c,fbo:f250cfaa-5fa7-486e-9bdf-f48b2b826bb4,3466.08,1416048.60,32.73,0.871658,7485527.00,173.00,5.29,656,5,EINN,KMEM,"EINN, KMEM",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,a2db5078-a1a3-42cf-b635-2d325a5805bb,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,444.13,1387173.70,32.48,0.855984,939604.80,22.00,0.68,656,4,KBGR,KBGR,"KBGR, CYHU, CYRQ, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,c386054b-56d6-4f70-a49d-b656372ac86c,fbo:10f9a696-2a4a-4230-af78-d57ca89be883,502.76,1349965.13,32.60,0.838004,1035116.00,25.00,0.77,656,4,KJAX,KSDF,"KJAX, KSDF",1
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,BONE-5,86be7e35-ac39-4c1b-bdae-9e9748063b54,fbo:e11f0ba9-9f21-488b-9c59-8abfea9df870,1212.21,1343722.85,32.45,0.834131,2484241.50,60.00,1.85,656,5,KMSP,KSEA,"KMSP, KSEA",1
