plane_type,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
Antonov AN-225-210,87ecf710-aee1-4793-abde-5922d8020811,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,145.16,58152180.39,26.52,29.208704,15347818.50,7.00,0.26,550,4,"KOWB, KSDF, KOWB",2
Antonov AN-225-210,9c119bdf-aeb8-4478-9339-8ead22e80d8b,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,57992505.59,0.00,57992505.590743,1902054.00,0.00,0.03,550,5,"KEWR, KJFK",1
Antonov AN-225-210,bc5b6fa0-067a-4e04-a6d7-574c0fae1949,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,35691635.92,0.00,35691635.918148,1170624.00,0.00,0.03,550,5,"KEWR, KJFK",1
Antonov AN-225-210,106dbec3-1e6d-4696-ba9c-807310ff6027,fbo:0aebb581-a62e-4539-a9f3-43ce99afafb0,180.85,32437914.62,27.37,16.355811,10666204.50,9.00,0.33,550,5,"KLAX, KNKX, KLAX",2
Antonov AN-225-210,1114daf8-c5db-4b87-b334-dee0065a7c3a,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,31812513.93,0.00,31812513.928156,1043395.50,0.00,0.03,550,5,"KEWR, KJFK",1
Antonov AN-225-210,209a1b47-dd06-4395-a19f-16d10cb6e1d2,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,18.04,31184081.44,0.00,31184081.439392,1022784.00,0.00,0.03,550,5,"KEWR, KJFK",1
Antonov AN-225-210,04856545-e21d-4398-a144-beea5ceaa568,fbo:1808831c-344b-4239-bd19-56cfb551cfb5,289.90,30467290.39,26.56,15.366450,16058941.50,14.00,0.53,550,5,"KORD, KMSP",1
Antonov AN-225-210,6d6a2ade-ff71-465f-8ef8-59a04ea57b15,fbo:3f1d2051-ee06-41c6-9782-aa3debe1e7e6,237.14,30267702.00,25.51,15.261411,13050523.50,11.00,0.43,550,5,"KCVG, KIND, KDAY, KCVG",3
Antonov AN-225-210,5b5121e7-d94c-407f-a488-b31e5583f107,fbo:3f1d2051-ee06-41c6-9782-aa3debe1e7e6,520.12,30125576.20,26.44,15.194970,28488831.00,25.00,0.95,550,4,"KCVG, KSGH, KLBE, KCVG",3
Antonov AN-225-210,85e11c1b-0c0f-4d69-9e7a-fa511a4e2d90,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,581.86,30119382.39,27.41,15.196751,31864171.50,29.00,1.06,550,5,"KSDF, KPIT, KSDF",2
C208 Grand Caravan Amphibian,a4e0bc3f-6554-49ed-a1d2-dee4e275b0aa,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,109.02,254230.82,8.53,0.169770,149005.50,5.00,0.59,186,0,"KPQI, WYTOP, KPQI",2
C208 Grand Caravan Amphibian,c2de5465-20ec-4765-aab9-7c30d6f49642,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,487.97,103391.50,9.15,0.097436,271246.50,24.00,2.62,186,0,"WYTOP, CYSU, CYES, WYTOP",3
C208 Grand Caravan Amphibian,97b950a8-3a09-4070-8020-375684e6f1c3,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,826.08,88460.68,9.23,0.090388,392878.50,41.00,4.44,186,0,"WYTOP, CPU6, CYQB, WYTOP",3
C208 Grand Caravan Amphibian,dd08a752-7424-47b2-8f4c-77a63a15c933,fbo:9f57f348-4cff-4448-a325-48301fb67ec1,421.47,84588.93,9.27,0.088632,191677.50,21.00,2.27,186,0,"WYTOP, CYSG, CYRQ, CSQ3, WYTOP",4
